PC1,PC2,PC3,PC4,PC5,PC6
-342.9191414218986,-330.2839745157876,-188.13219702568318,36.525472273693666,31.571455030143788,-13.36871722607858
-325.8700812485502,-331.7861977339037,-136.67477496232044,27.559843781857495,8.515242819057931,-0.15238422507990146
-304.81051085387315,-311.91908243011244,-125.6512764894212,19.795918483974134,31.803976073252734,-17.7391594899256
-333.88233102926336,-356.4201006274674,-99.26488008435915,53.45062966090623,63.02489232638387,31.49274747856515
-307.04869213821326,-304.3887087565504,-141.8751987854213,36.603684808139874,73.2869258485113,25.17066357833173
-349.91490388994475,-329.55350362458665,-196.25498371021396,23.122322361544732,2.961067295470677,22.50818964649699
-340.38217095826644,-318.4798307364098,-202.93069248240687,47.462337072828376,61.84784954473491,-20.30381323510097
-356.14438886625777,-341.35055950604794,-188.89497891095988,17.737627192074285,11.530529064777241,19.692425520042704
-368.24927081583854,-380.50253591684157,-155.05939530595242,5.388960131209018,28.654154238211518,-11.906270816103941
-370.5128883984591,-368.5093824750087,-173.05238980494175,32.68589544113041,50.54042729895882,16.994739751811135
-366.45423409676096,-370.5652801178952,-155.06862633294205,36.35903180152823,50.014759857198946,6.545333211526463
-379.0859854238484,-365.92556777684297,-201.5219741035284,15.75766318014982,36.53446612638974,8.144618481931742
-365.06754315243285,-356.50592274394654,-175.63346690362204,39.75328223480665,48.05387389818567,-7.671180645251141
-401.4986724235977,-402.9453963632472,-171.80310804468684,41.207390534198254,71.13733770948913,25.495044029055943
-370.49037058122326,-361.2310468422337,-189.28261041834668,21.523618511258064,65.06621685184942,-9.468457038344324
-389.40305419142953,-364.8352294501963,-222.3459974781117,32.26763602665912,43.82909122875094,4.4448021320823665
-425.2712688102195,-395.5931087897802,-248.93026383341254,3.4131071596481775,18.285733593390837,-28.91945172136788
-419.8936739777048,-401.4823898871757,-217.76281342828085,17.46486643592604,36.22500516110417,5.938735357427201
-428.9300005204983,-426.304652746803,-202.09884928573018,38.41160806612206,44.6098740365496,11.276777908194084
-442.20361455443776,-426.41860671396023,-223.69143557419483,38.26268086592023,32.186124808008806,7.802483192446749
-461.2961416025315,-436.7405648823459,-253.52677194007617,54.017794008341895,-1.9162402839523196,2.8695572291940077
-469.77997156575873,-456.2394489148684,-243.33218294394555,17.088224196796858,44.25837358982517,35.17176047201685
-463.0427365394918,-451.9736025542042,-232.19325972159572,47.59927029832551,47.3574682347958,12.361358240107382
-487.97743984475267,-490.01034278293236,-218.46170352097624,38.584785313898806,49.96296293563948,5.61968257119425
-478.71980784272887,-470.2051976378278,-228.5344645878431,32.28525232555677,0.9238195025563982,-17.12798932802563
-475.64910653094176,-474.16587944228564,-214.51525179818947,23.136696120455383,19.3054654215546,12.237192678067045
-475.92252367352353,-481.70593344256554,-201.9829303923618,14.240070137270976,2.387739546539862,-23.814489593329753
-457.80039576681895,-466.6642624738596,-179.46832848939886,49.648892196596904,40.31459983777238,31.85816623113856
-432.15545386645016,-426.95186663475886,-205.19491662531024,9.047874670428257,45.348123257336134,-20.782773650087808
-497.85136799685785,-494.67877650998133,-235.82005264226626,-14.991558027131447,55.206256348936975,-21.849633059969612
